,Name,Rating,Review,C-type,HQ,Old,Employee
412,Aon,4.0,(1.1k Reviews),Private,London + 17 more,82 years old,10k-50k Employees (India)
413,Hindustan Aerona...,4.3,(1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",82 years old,10k-50k Employees (India)
414,Yazaki,4.0,(1.2k Reviews),Private,"Tokyo,Tokyo + 39 more",81 years old,10k-50k Employees (India)
415,Metro,4.2,(1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 54 more",58 years old,1k-5k Employees (India)
416,WABCO,4.0,(1k Reviews),Public,Berne + 32 more,53 years old,1k-5k Employees (India)
417,Adani Wilmar,4.2,(1k Reviews),Public,"Ahmedabad,Gujrat + 108 more",34 years old,1k-5k Employees (India)
418,XpressBees,4.1,(1k Reviews),Private,"Pune,Maharashtra + 163 more",7 years old,10k-50k Employees (India)
419,Uflex,3.8,(1.1k Reviews),Public,"Noida,Uttar Pradesh + 32 more",39 years old,1k-5k Employees (India)
420,Renault Nissan T...,3.8,(1k Reviews),Chennai + 11 more,1k-5k Employees (India),nan,nan
421,Foxconn,4.1,(1k Reviews),Private,Taipei + 27 more,48 years old,10k-50k Employees (India)
422,Tata Play,4.2,(1k Reviews),Public,"Mumbai,Maharashtra + 157 more",16 years old,1k-5k Employees (India)
423,Square Yards,3.1,(1k Reviews),Private,"Gurgaon,Haryana + 34 more",9 years old,1k-5k Employees (India)
424,RMSI,3.8,(1k Reviews),Private,"Noida,Uttar Pradesh + 11 more",30 years old,1k-5k Employees (India)
425,ITC Hotels,4.1,(1.1k Reviews),Public,"Kolkata,West Bengal + 66 more",47 years old,5k-10k Employees (India)
426,Dr Lal PathLabs,4.2,(1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 115 more",73 years old,1k-5k Employees (India)
427,Panasonic,4.1,(1.7k Reviews),Private,"Kadoma,Osaka + 107 more",104 years old,10k-50k Employees (India)
428,Dell EMC,4.3,(1k Reviews),Private,Hopkinton + 47 more,43 years old,10k-50k Employees (India)
429,Dainik Bhaskar G...,4.1,(1k Reviews),Public,"Bhopal,Madhya Pradesh + 110 more",64 years old,5k-10k Employees (India)
430,AECOM,4.2,(1k Reviews),Private,Dallas + 88 more,32 years old,5k-10k Employees (India)
431,Bharat Financial...,4.2,(1k Reviews),Public,Hyderabad + 236 more,24 years old,10k-50k Employees (India)
432,Honeywell Automa...,4.0,(996 Reviews),Public,"Morris Plains,New Jersey + 48 more",116 years old,10k-50k Employees (India)
433,Fujitsu,4.2,(989 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",87 years old,5k-10k Employees (India)
434,Reckitt Benckise...,4.1,(988 Reviews),Private,"Slough,Slough + 98 more",23 years old,1k-5k Employees (India)
435,Videocon d2h,3.9,(988 Reviews),Public,Mumbai + 133 more,13 years old,501-1k Employees (India)
436,Canara HSBC OBC ...,3.8,(988 Reviews),Public,"Gurgaon/Gurugram,Haryana + 169 more",14 years old,1k-5k Employees (India)
437,Johnson & Johnso...,4.3,(1k Reviews),Private,"New Brunswick,New Jersey + 116 more",65 years old,5k-10k Employees (India)
438,Karvy Fintech,3.6,(984 Reviews),"Hyderabad/Secunderabad,Telangana + 70 more",44 years old,201-500 Employees (India),nan
439,Ninjacart,3.6,(980 Reviews),Private,"Bangalore,Karnataka + 70 more",7 years old,1k-5k Employees (India)
440,Barclays Shared ...,4.3,(978 Reviews),Private,London + 9 more,15 years old,5k-10k Employees (India)
441,Akums Drugs & Ph...,4.1,(1.3k Reviews),Private,"Delhi/NCR,New Delhi + 26 more",18 years old,5k-10k Employees (India)
442,Aragen Life Scie...,4.4,(976 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",22 years old,1k-5k Employees (India)
443,Vardhman Fabrics,4.1,(976 Reviews),Baddi + 50 more,10k-50k Employees (India),nan,nan
444,Hindustan Constr...,4.2,(975 Reviews),Public,"Mumbai,Maharashtra + 60 more",96 years old,1k-5k Employees (India)
445,Sify Technologie...,4.0,(973 Reviews),Private,"Chennai,Tamil Nadu + 73 more",27 years old,1k-5k Employees (India)
446,Aavas Financiers...,4.0,(972 Reviews),Public,"Jaipur,Rajasthan + 186 more",11 years old,1k-5k Employees (India)
447,FedEx Express,4.3,(1.2k Reviews),Private,Moon Township + 85 more,51 years old,5k-10k Employees (India)
448,Jindal Stainless,4.2,(1k Reviews),Public,"Delhi/NCR,New Delhi + 44 more",52 years old,10k-50k Employees (India)
449,Reliance General...,3.9,(958 Reviews),Private,"Mumbai,Maharashtra + 133 more",22 years old,10k-50k Employees (India)
450,Max Fashion,4.3,(957 Reviews),Private,Abu Dhabi + 109 more,8 years old,5k-10k Employees (India)
451,Aforeserve,3.6,(956 Reviews),Private,"Noida,Uttar Pradesh + 125 more",22 years old,1k-5k Employees (India)
452,Sony,4.4,(1.1k Reviews),Public,"Delhi/NCR,Delhi + 114 more",28 years old,501-1k Employees (India)
453,Microland,3.8,(955 Reviews),Public,Bangalore + 32 more,33 years old,1k-5k Employees (India)
454,Procter & Gamble,4.2,(1.4k Reviews),Public,"Cincinnati,Ohio + 170 more",185 years old,5k-10k Employees (India)
455,Inox Leisure,4.1,(953 Reviews),Public,"Mumbai,Maharashtra + 79 more",23 years old,1k-5k Employees (India)
456,Northern Trust O...,4.2,(953 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",17 years old,1k-5k Employees (India)
457,Cisco,4.5,(1.1k Reviews),Public,"San Jose,California + 27 more",38 years old,10k-50k Employees (India)
458,Verizon,4.3,(977 Reviews),Private,"New York City,New York + 9 more",22 years old,5k-10k Employees (India)
459,Zomato,4.0,(949 Reviews),Public,"Gurgaon,Haryana + 131 more",14 years old,10k-50k Employees (India)
460,First American C...,4.1,(1.4k Reviews),Private,"Santa Ana,California + 11 more",133 years old,1k-5k Employees (India)
461,Edelweiss,4.0,(944 Reviews),Public,"Mumbai,Maharashtra + 103 more",5 years old,5k-10k Employees (India)
462,Laurus Labs,4.4,(943 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 7 more",17 years old,1k-5k Employees (India)
463,Cavinkare,4.1,(941 Reviews),Private,"Chennai,Tamil Nadu + 114 more",39 years old,1k-5k Employees (India)
464,Kent RO Systems,3.7,(941 Reviews),Private,"Noida,Uttar Pradesh + 112 more",23 years old,1k-5k Employees (India)
465,SRL Diagnostics,4.1,(940 Reviews),Private,Mumbai + 109 more,27 years old,1k-5k Employees (India)
466,SAP,4.4,(1.3k Reviews),Private,"Walldorf,Baden-Württemberg + 27 more",24 years old,10k-50k Employees (India)
467,Adecco Group,4.0,(941 Reviews),Private,"Zurich,Zurich + 104 more",23 years old,1k-5k Employees (India)
468,DIVI'S Laborator...,3.7,(938 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 12 more",32 years old,10k-50k Employees (India)
469,Kotak Securities,3.8,(937 Reviews),Private,"Mumbai,Maharashtra + 94 more",28 years old,1k-5k Employees (India)
470,HERE Technologie...,4.0,(936 Reviews),Private,"Eindhoven,North Brabant + 9 more",37 years old,1k-5k Employees (India)
471,Angel One,4.0,(935 Reviews),Mumbai + 104 more,1k-5k Employees (India),nan,nan
472,Mother Dairy Fru...,4.2,(934 Reviews),Private,"Noida,Uttar Pradesh + 91 more",48 years old,1k-5k Employees (India)
473,SGS,4.1,(935 Reviews),Private,"Geneva,Geneva + 77 more",144 years old,1k-5k Employees (India)
474,V-Guard Industri...,4.6,(947 Reviews),Public,"Kochi/Cochin,Kerala + 104 more",45 years old,1k-5k Employees (India)
475,Iksula,4.1,(930 Reviews),LLP,"Mumbai,Maharashtra + 115 more",15 years old,201-500 Employees (India)
476,Exl India,3.9,(929 Reviews),New Delhi + 20 more,65 years old,11-50 Employees (India),nan
477,USHA Internation...,4.3,(950 Reviews),Public,"Gurgaon/Gurugram,Haryana + 91 more",88 years old,1k-5k Employees (India)
478,Motilal Oswal Fi...,3.7,(922 Reviews),Public,"Mumbai,Maharashtra + 93 more",35 years old,5k-10k Employees (India)
479,Citibank,4.1,(920 Reviews),Private,"New York,New York + 41 more",210 years old,10k-50k Employees (India)
480,HCL Technologies...,3.7,(920 Reviews),Private,Noida + 32 more,22 years old,1 Lakh+ Employees (India)
481,Citicorp,3.8,(920 Reviews),Private,"Mumbai,Maharashtra + 28 more",25 years old,10k-50k Employees (India)
482,The Jaypee Group,4.1,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 81 more",43 years old,10k-50k Employees (India)
483,Emami,4.0,(1.8k Reviews),Public,"Kolkata,West Bengal + 121 more",48 years old,10k-50k Employees (India)
484,Xoriant,4.4,(918 Reviews),Private,"Sunnyvale,California + 14 more",32 years old,1k-5k Employees (India)
485,DHL Express,4.3,(917 Reviews),Private,Bonn + 73 more,43 years old,1k-5k Employees (India)
486,Narayana Educati...,3.8,(917 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 95 more",37 years old,1k-5k Employees (India)
487,CMA CGM,4.1,(1.1k Reviews),Private,"Marseille,Marseille + 22 more",44 years old,501-1k Employees (India)
488,Safexpress,4.2,(1k Reviews),Private,"Delhi/NCR,Delhi + 112 more",25 years old,1k-5k Employees (India)
489,Ocwen Financial ...,4.2,(914 Reviews),Private,"West Palm Beach,Florida + 6 more",34 years old,1k-5k Employees (India)
490,Schindler Group,4.0,(914 Reviews),Private,"Ebikon,Lucerne + 61 more",25 years old,1k-5k Employees (India)
491,G R Infraproject...,4.2,(912 Reviews),Public,"Udaipur,Rajasthan + 100 more",27 years old,10k-50k Employees (India)
492,Intellect Design...,4.1,(909 Reviews),Public,"Chennai,Tamil Nadu + 22 more",8 years old,1k-5k Employees (India)
493,Marriott Interna...,4.2,(3k Reviews),Private,"Bethesda,Maryland + 62 more",95 years old,10k-50k Employees (India)
494,Harman Connected...,3.9,(907 Reviews),Private,"Mountain View,California + 9 more",21 years old,10k-50k Employees (India)
495,Philips,4.1,(1.5k Reviews),Private,Amsterdam + 71 more,92 years old,5k-10k Employees (India)
496,Crisil,3.9,(914 Reviews),Public,"Mumbai,Maharashtra + 43 more",35 years old,1k-5k Employees (India)
497,Star Health & Al...,4.0,(903 Reviews),Private,"Chennai,Tamil Nadu + 189 more",16 years old,10k-50k Employees (India)
498,NCR Corporation,4.0,(904 Reviews),Private,"Atlanta,Georgia + 57 more",138 years old,5k-10k Employees (India)
499,Toyota Kirloskar...,4.3,(900 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 57 more",25 years old,5k-10k Employees (India)
500,Badve Engineerin...,3.9,(899 Reviews),Private,"Aurangabad,Maharashtra + 32 more",26 years old,1k-5k Employees (India)
501,Medanta the Medi...,4.2,(898 Reviews),Private,Gurgaon + 28 more,13 years old,1k-5k Employees (India)
502,Punj Lloyd,4.3,(896 Reviews),Public,"Gurgaon/Gurugram,Haryana + 69 more",40 years old,1k-5k Employees (India)
503,KFC,4.1,(894 Reviews),Private,"Louisville,Kentucky + 113 more",70 years old,1k-5k Employees (India)
504,Bank of Baroda,3.8,(1.3k Reviews),Private,"Vadodara/Baroda,Gujrat + 168 more",114 years old,10k-50k Employees (India)
505,ElasticRun,3.9,(891 Reviews),Private,"Pune,Maharashtra + 204 more",6 years old,1k-5k Employees (India)
506,DBS Bank,3.9,(891 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 98 more",7 years old,1k-5k Employees (India)
507,Yash Technologie...,4.0,(890 Reviews),Private,"East Moline,Illinois + 13 more",26 years old,5k-10k Employees (India)
508,KONE,4.2,(890 Reviews),Private,"Chennai,Tamil Nadu + 59 more",38 years old,1k-5k Employees (India)
509,Medi Assist Indi...,3.8,(889 Reviews),Private,"Bangalore,Karnataka + 42 more",22 years old,1k-5k Employees (India)
510,FactSet,3.9,(888 Reviews),Private,"Norwalk,Connecticut + 5 more",15 years old,1k-5k Employees (India)
511,iOPEX Technologi...,4.1,(914 Reviews),Private,"San Jose,California + 9 more",13 years old,1k-5k Employees (India)
512,Care Health Insu...,4.0,(886 Reviews),Public,"Gurgaon,Haryana + 133 more",10 years old,5k-10k Employees (India)
513,Sitel,4.0,(1k Reviews),Private,"Miami,Florida + 10 more",37 years old,1k-5k Employees (India)
514,USV,4.1,(881 Reviews),Private,"Mumbai,Maharashtra + 74 more",61 years old,1k-5k Employees (India)
515,SLK Global Servi...,3.9,(879 Reviews),Private,"Dallas,Texas + 8 more",22 years old,51-200 Employees (India)
516,TCE,3.7,(877 Reviews),Private,"Mumbai,Maharashtra + 70 more",60 years old,1k-5k Employees (India)
517,BT Global Servic...,4.3,(877 Reviews),Private,London + 9 more,22 years old,1k-5k Employees (India)
518,Innovsource Serv...,4.1,(875 Reviews),Private,"Mumbai,Maharashtra + 131 more",18 years old,1k-5k Employees (India)
519,Amazon Transport...,4.2,(15.8k Reviews),Private,"Seattle,Washington + 110 more",10 years old,1k-5k Employees (India)
520,Nayara Energy,4.2,(873 Reviews),Private,"Mumbai,Maharashtra + 65 more",33 years old,1k-5k Employees (India)
521,Motherson Automo...,3.9,(3.5k Reviews),Private,Noida + 42 more,25 years old,501-1k Employees (India)
522,NTPC,4.1,(1.4k Reviews),Private,"Delhi/NCR,Delhi + 81 more",47 years old,10k-50k Employees (India)
523,Tesco,4.2,(946 Reviews),Private,Hertfordshire + 17 more,103 years old,1k-5k Employees (India)
524,Torrent Power,3.8,(884 Reviews),Public,"Ahmedabad,Gujrat + 33 more",26 years old,1k-5k Employees (India)
525,Orange Business ...,4.3,(868 Reviews),Private,Paris + 38 more,16 years old,1k-5k Employees (India)
526,L.G.Balakrishnan...,3.9,(867 Reviews),Public,"Coimbatore,Tamil Nadu + 30 more",85 years old,1k-5k Employees (India)
527,ISS Facility Ser...,4.3,(867 Reviews),Private,Copenhagen + 47 more,17 years old,50k-1 Lakh Employees (India)
528,VLCC,4.0,(867 Reviews),Private,"Delhi/NCR,New Delhi + 87 more",33 years old,1k-5k Employees (India)
529,Honeywell Techno...,3.9,(866 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",28 years old,10k-50k Employees (India)
530,Allsec Technolog...,3.7,(864 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 17 more",22 years old,1k-5k Employees (India)
531,Satin Creditcare...,4.2,(861 Reviews),Public,"Gurgaon/Gurugram,Haryana + 180 more",32 years old,5k-10k Employees (India)
532,Tata Elxsi,4.1,(861 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",33 years old,5k-10k Employees (India)
533,Relaxo Footwear,4.1,(859 Reviews),Public,"New Delhi,Delhi + 95 more",46 years old,1k-5k Employees (India)
534,Faurecia,4.0,(859 Reviews),Private,Nanterre + 22 more,25 years old,1k-5k Employees (India)
535,Biological E,4.3,(858 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 25 more",69 years old,1k-5k Employees (India)
536,Hindustan Petrol...,4.4,(855 Reviews),Public,"Mumbai,Maharashtra + 145 more",48 years old,5k-10k Employees (India)
537,Akzo Nobel India,4.2,(853 Reviews),Public,Amsterdam + 109 more,83 years old,1k-5k Employees (India)
538,Varroc Group,3.7,(966 Reviews),Public,Aurangabad + 24 more,34 years old,1k-5k Employees (India)
539,Mercedes-Benz Re...,4.0,(851 Reviews),Public,"Bengaluru/Bangalore,Karnataka + 46 more",26 years old,5k-10k Employees (India)
540,Vedantu,3.5,(850 Reviews),Private,"Bangalore,Karnataka + 48 more",11 years old,5k-10k Employees (India)
541,ISGEC,3.9,(849 Reviews),Public,"Noida,Uttar Pradesh + 47 more",89 years old,1k-5k Employees (India)
542,HDFC Securities,3.7,(848 Reviews),Public,"Mumbai,Maharashtra + 137 more",22 years old,1k-5k Employees (India)
543,Serco,4.2,(844 Reviews),Private,Hook + 37 more,34 years old,5k-10k Employees (India)
544,Consolidated Con...,4.6,(844 Reviews),Public,"Marousi,Alger + 38 more",70 years old,1k-5k Employees (India)
545,Trident Group,3.9,(840 Reviews),Public,"Ludhiana,Punjab + 36 more",32 years old,1k-5k Employees (India)
546,J. Kumar Infrapr...,4.1,(839 Reviews),Public,"Mumbai,Maharashtra + 24 more",42 years old,5k-10k Employees (India)
547,Mercer,3.9,(838 Reviews),Private,"New York,New York + 10 more",77 years old,1k-5k Employees (India)
548,Vfs Global Servi...,3.7,(837 Reviews),Private,"Mumbai,Maharashtra + 24 more",21 years old,1k-5k Employees (India)
549,MSN Laboratories,3.6,(833 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 48 more",19 years old,1k-5k Employees (India)
550,Bharat Forge,3.9,(833 Reviews),Public,"Pune,Maharashtra + 12 more",61 years old,1k-5k Employees (India)
551,GMR Group,4.2,(1.6k Reviews),Public,"Delhi/NCR,New Delhi + 47 more",44 years old,5k-10k Employees (India)
552,Jubilant Foods W...,3.8,(829 Reviews),Public,"Noida,Uttar Pradesh + 109 more",27 years old,10k-50k Employees (India)
553,Hero FinCorp,4.3,(827 Reviews),Private,Delhi + 214 more,31 years old,1k-5k Employees (India)
554,Fincare Small Fi...,4.0,(825 Reviews),Bangalore + 203 more,15 years old,5k-10k Employees (India),nan
555,Vertex Customer ...,3.6,(821 Reviews),Private,Panchkula + 31 more,12 years old,5k-10k Employees (India)
556,TVS Logistics Se...,4.1,(937 Reviews),Private,"Chennai,Tamil Nadu + 78 more",18 years old,1k-5k Employees (India)
557,Aditya Birla Cap...,4.1,(818 Reviews),Public,Mumbai + 144 more,15 years old,10k-50k Employees (India)
558,L&T Energy Hydro...,3.9,(818 Reviews),Private,"Mumbai,Maharashtra + 46 more",13 years old,5k-10k Employees (India)
559,Trent,4.3,(815 Reviews),Public,"Mumbai,Maharashtra + 87 more",24 years old,1k-5k Employees (India)
560,Bayer,4.3,(1k Reviews),Public,"Monheim Am Rhein,North Rhine-westphalia + 146 more",159 years old,10k-50k Employees (India)
561,Gannon Dunkerley,4.0,(813 Reviews),Private,"Mumbai,Maharashtra + 55 more",98 years old,1k-5k Employees (India)
562,DHL Supply Chain,4.3,(812 Reviews),Private,Bonn + 58 more,53 years old,1k-5k Employees (India)
563,NIIT,3.8,(812 Reviews),Public,Gurgaon/Gurugram + 81 more,1k-5k Employees (India),nan
564,Saipem,4.1,(811 Reviews),Private,"San Donato Milanese,Milan + 31 more",65 years old,1k-5k Employees (India)
565,Fabindia,4.1,(810 Reviews),Private,"Delhi/NCR,Delhi + 71 more",64 years old,1k-5k Employees (India)
566,Cinépolis,4.4,(810 Reviews),Morelia + 45 more,51 years old,1k-5k Employees (India),nan
567,Pantaloons,4.2,(809 Reviews),Public,"Mumbai,Maharashtra + 112 more",25 years old,10k-50k Employees (India)
568,Unisys,3.9,(805 Reviews),Private,"Blue Bell,Pennsylvania + 9 more",35 years old,1k-5k Employees (India)
569,ZS,3.8,(805 Reviews),Private,"Evanston,Illinois + 5 more",39 years old,5k-10k Employees (India)
570,Essar Steel,3.9,(802 Reviews),Private,"Mumbai,Maharashtra + 29 more",46 years old,1k-5k Employees (India)
571,Heritage Foods ...,4.1,(802 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 71 more",30 years old,501-1k Employees (India)
572,XcelServ Solutio...,4.7,(801 Reviews),Private,"Las Vegas,Nevada + 34 more",11 years old,501-1k Employees (India)
573,Indiabulls Home ...,4.0,(801 Reviews),"Gurgaon/Gurugram,Haryana + 105 more",17 years old,5k-10k Employees (India),nan
574,Coforge,3.8,(800 Reviews),Public,"Noida,Uttar Pradesh + 23 more",18 years old,10k-50k Employees (India)
575,Aptara,3.3,(798 Reviews),Private,"Falls Church,Virginia + 10 more",34 years old,1k-5k Employees (India)
576,Bata,4.1,(797 Reviews),Public,Lausanne + 89 more,91 years old,1k-5k Employees (India)
577,Marico,4.1,(1.2k Reviews),Public,"Mumbai,Maharashtra + 113 more",32 years old,1k-5k Employees (India)
578,Welspun,4.0,(794 Reviews),Private,Mumbai + 35 more,37 years old,5k-10k Employees (India)
579,Swaraj Tractors,4.3,(793 Reviews),"Mumbai,Maharashtra + 96 more",60 years old,501-1k Employees (India),nan
580,Indiabulls Consu...,3.9,(793 Reviews),Public,"Mumbai,Maharashtra + 123 more",28 years old,10k-50k Employees (India)
581,Daimler India Co...,4.2,(791 Reviews),Private,"Chennai,Tamil Nadu + 33 more",136 years old,1k-5k Employees (India)
582,Security and Int...,4.3,(790 Reviews),Public,"Delhi/NCR,Delhi + 126 more",37 years old,1 Lakh+ Employees (India)
583,Lumax Industries,4.0,(785 Reviews),Public,"Pune,Maharashtra + 26 more",77 years old,501-1k Employees (India)
584,Altisource,3.8,(781 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",15 years old,1k-5k Employees (India)
585,DENSO,4.1,(853 Reviews),Public,"Kariya,Aichi + 33 more",75 years old,501-1k Employees (India)
586,Sharekhan,4.1,(778 Reviews),Public,"Mumbai,Maharashtra + 102 more",22 years old,5k-10k Employees (India)
587,Sanofi,4.5,(924 Reviews),Public,Paris + 63 more,18 years old,1k-5k Employees (India)
588,Amity University,3.8,(777 Reviews),Private,"Noida,Uttar Pradesh + 67 more",17 years old,1k-5k Employees (India)
589,Jindal Saw,4.1,(776 Reviews),Public,"Delhi/NCR,New Delhi + 39 more",38 years old,5k-10k Employees (India)
590,Straive,3.8,(776 Reviews),Private,Singapore + 17 more,42 years old,1k-5k Employees (India)
591,Sysnet Global Te...,3.8,(775 Reviews),Private,"Delhi/NCR,Delhi + 94 more",23 years old,1k-5k Employees (India)
592,JW Marriott,4.3,(774 Reviews),Private,"Bethesda,Maryland + 37 more",95 years old,1k-5k Employees (India)
593,IDC Technologies,3.5,(772 Reviews),Private,"Milpitas,California + 48 more",19 years old,1k-5k Employees (India)
594,Suguna Foods,4.1,(771 Reviews),Private,"Coimbatore,Tamil Nadu + 117 more",38 years old,5k-10k Employees (India)
595,Petrofac,4.4,(1.4k Reviews),Private,"Sharjah,Sharjah + 30 more",31 years old,1k-5k Employees (India)
596,Tikona Infinet,3.8,(768 Reviews),Private,"Mumbai,Maharashtra + 41 more",14 years old,1k-5k Employees (India)
597,Aricent,3.7,(768 Reviews),Private,"Santa Clara,California + 11 more",40 years old,5k-10k Employees (India)
598,Oracle Financial...,3.8,(767 Reviews),Public,Mumbai + 13 more,32 years old,50k-1 Lakh Employees (India)
599,SBICAP Securitie...,3.8,(765 Reviews),Public,"Mumbai,Maharashtra + 142 more",16 years old,1k-5k Employees (India)
600,SBI General Insu...,4.0,(765 Reviews),JV,"Mumbai,Maharashtra + 142 more",13 years old,1k-5k Employees (India)
601,Spicejet,3.6,(762 Reviews),Public,"Gurgaon/Gurugram,Haryana + 49 more",18 years old,5k-10k Employees (India)
602,Frankfinn Instit...,3.9,(762 Reviews),Private,"Gurgaon/Gurugram,Haryana + 51 more",29 years old,1k-5k Employees (India)
603,Steel Strips Whe...,3.8,(760 Reviews),Public,"Chandigarh,Chandigarh + 25 more",37 years old,5k-10k Employees (India)
604,Chegg,4.4,(759 Reviews),Private,"Santa Clara,California + 55 more",17 years old,5k-10k Employees (India)
605,Intex Technologi...,4.0,(759 Reviews),Public,"Delhi/NCR,New Delhi + 72 more",26 years old,1k-5k Employees (India)
606,Haier Appliances...,3.9,(758 Reviews),Private,Qingdao + 74 more,18 years old,1k-5k Employees (India)
607,Paisabazaar.com,3.9,(757 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",11 years old,1k-5k Employees (India)
608,Indian Railways,4.1,(2.5k Reviews),Govt Organisation,"Delhi/NCR,Delhi + 123 more",169 years old,1 Lakh+ Employees (India)
609,Team Computers,3.7,(755 Reviews),Private,"Delhi/NCR,Delhi + 57 more",35 years old,1k-5k Employees (India)
610,Gland Pharma,4.1,(1.3k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 17 more",44 years old,1k-5k Employees (India)
611,SKF,4.0,(754 Reviews),Public,Gothenburg + 49 more,99 years old,1k-5k Employees (India)
612,ESAF Microfinanc...,3.8,(753 Reviews),Private,"Thrissur/Trichur,Kerala + 161 more",6 years old,1k-5k Employees (India)
613,Collabera Techno...,3.6,(753 Reviews),Private,"Basking Ridge,New Jersey + 38 more",31 years old,1k-5k Employees (India)
614,Cushman & Wakefi...,4.4,(748 Reviews),Private,Chicago + 27 more,25 years old,1k-5k Employees (India)
615,Volkswagen,4.2,(1.4k Reviews),Private,Berlin + 85 more,21 years old,10k-50k Employees (India)
616,iQor Global Serv...,3.9,(745 Reviews),Private,"Saint Petersburg,Florida + 48 more",24 years old,1k-5k Employees (India)
617,TATA Power,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 81 more",111 years old,5k-10k Employees (India)
618,SS&C TECHNOLOGIE...,3.8,(994 Reviews),Private,"Windsor Locks,Connecticut + 12 more",22 years old,1k-5k Employees (India)
619,Cerner,4.0,(739 Reviews),Public,"Kansas,Missouri + 1 more",43 years old,1k-5k Employees (India)
620,PhonePe,4.1,(855 Reviews),Private,"Bangalore,Karnataka + 125 more",7 years old,5k-10k Employees (India)
621,ITD Cementation ...,4.3,(735 Reviews),Public,"Mumbai,Maharashtra + 44 more",91 years old,1k-5k Employees (India)
622,Exotic Learning,4.8,(735 Reviews),Private,"Lucknow,Uttar Pradesh + 6 more",2 years old,51-200 Employees (India)
623,Tata Communicati...,4.2,(733 Reviews),Private,Mumbai + 54 more,16 years old,10k-50k Employees (India)
624,Krishna Maruti,4.1,(732 Reviews),Private,"Gurgaon/Gurugram,Haryana + 24 more",28 years old,1k-5k Employees (India)
625,Computer Age Man...,3.9,(732 Reviews),Private,"Chennai,Tamil Nadu + 66 more",34 years old,1k-5k Employees (India)
626,AGS Transact Tec...,3.7,(731 Reviews),Private,Mumbai + 87 more,20 years old,10k-50k Employees (India)
627,FDC,4.0,(731 Reviews),Public,"Mumbai,Maharashtra + 77 more",82 years old,1k-5k Employees (India)
628,Ashoka Buildcon,4.2,(731 Reviews),Public,"Nasik/Nashik,Maharashtra + 95 more",46 years old,1k-5k Employees (India)
629,Fino Payments Ba...,4.3,(730 Reviews),Private,"Mumbai,Maharashtra + 153 more",16 years old,1k-5k Employees (India)
630,24-7 Intouch,3.2,(730 Reviews),Private,"Winnipeg,Manitoba + 6 more",21 years old,1k-5k Employees (India)
631,SYSKA LED Lights,3.6,(729 Reviews),Private,"Pune,Maharashtra + 115 more",10 years old,1k-5k Employees (Global)
632,Daikin,4.2,(728 Reviews),Private,"Osaka City,Osaka + 60 more",22 years old,1k-5k Employees (India)
633,Adani Ports and ...,4.0,(727 Reviews),Public,"Ahmedabad,Gujrat + 45 more",24 years old,1k-5k Employees (India)
634,Standard Charter...,4.0,(727 Reviews),Private,Chennai + 12 more,21 years old,10k-50k Employees (India)
635,PI Industries,4.1,(724 Reviews),Public,"Gurgaon/Gurugram,Haryana + 60 more",75 years old,1k-5k Employees (India)
636,Aadhar Housing F...,4.2,(724 Reviews),Private,"Mumbai,Maharashtra + 189 more",12 years old,1k-5k Employees (India)
637,Manipal Hospita...,4.3,(723 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",69 years old,5k-10k Employees (India)
638,DISH TV,3.8,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 114 more",19 years old,1k-5k Employees (India)
639,ECIL,4.2,(720 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 31 more",55 years old,1k-5k Employees (India)
640,Asahi India Glas...,3.9,(719 Reviews),Public,"Gurgaon/Gurugram,Haryana + 48 more",38 years old,1k-5k Employees (India)
641,Fresenius,4.0,(719 Reviews),Public,"Bad Homburg,Hesse + 52 more",23 years old,1k-5k Employees (India)
642,Haldiram Foods,3.9,(815 Reviews),Private,Nagpur + 66 more,52 years old,501-1k Employees (India)
643,Compass Group S...,4.1,(774 Reviews),Public,"Chertsey,Surrey + 50 more",81 years old,10k-50k Employees (India)
644,Cargill,4.3,(716 Reviews),Private,"Wayzata,Minnesota + 77 more",157 years old,1k-5k Employees (India)
